Districts,Year,Flood_Frequency,Mean_Duration,Mean_Severity,AFSI,Dist_Name_x,Human_fatality,Human_injured,Population,Mean_Flood_Duration,Dist_Name_y,Percent_Flooded_Area,Parmanent_Water,Corrected_Percent_Flooded_Area,Population_Exposure_Ratio,Flood_Risk_Index,Area_Exposure,Severity_Score
Akola,1985,1,1,,,Akola,106,14,2032614,4,Akola,0.880057177,0.274621796,0.605435381,5.21E-05,1.00005215,12306.16432,
Akola,1988,2,2,,,Akola,106,14,2032614,4,Akola,0.880057177,0.274621796,0.605435381,5.21E-05,4.000208598,12306.16432,
Akola,1994,1,1,,,Akola,106,14,2032614,4,Akola,0.880057177,0.274621796,0.605435381,5.21E-05,1.00005215,12306.16432,
Akola,2004,1,1,,,Akola,106,14,2032614,4,Akola,0.880057177,0.274621796,0.605435381,5.21E-05,1.00005215,12306.16432,
Akola,2021,2,1,,,Akola,106,14,2032614,4,Akola,0.880057177,0.274621796,0.605435381,5.21E-05,2.000104299,12306.16432,
Akola,2022,1,4,,,Akola,106,14,2032614,4,Akola,0.880057177,0.274621796,0.605435381,5.21E-05,4.000208598,12306.16432,
Akola,2023,3,1.333333333,,,Akola,106,14,2032614,4,Akola,0.880057177,0.274621796,0.605435381,5.21E-05,4.000208598,12306.16432,
"Akola, Amravati, Bhandara, Buldhana, Chandrapur, Gadchiroli, Nagpur, Wardha,Yavatmal",1994,1,14,,,,125,14,2010685,,,1.505747627,,0.908345993,5.74E-05,14.00080325,18263.97663,
"Akola, Amravati, Buldhana,Washim",2010,1,1,,,,125,14,2010685,,,1.505747627,,0.908345993,5.74E-05,1.000057375,18263.97663,
"Akola, Amravati, Buldhana,Yavatmal",1988,1,2,,,,125,14,2010685,,,1.505747627,,0.908345993,5.74E-05,2.00011475,18263.97663,
"Akola, Amravati, Chandrapur, Gadchiroli Yavotmal, Washim",2016,1,1,,,,125,14,2010685,,,1.505747627,,0.908345993,5.74E-05,1.000057375,18263.97663,
"Akola, Amravati, Chandrapur, Nagpur, Wardha",2015,1,9,,,,125,14,2010685,,,1.505747627,,0.908345993,5.74E-05,9.000516377,18263.97663,
"Akola, Amravati, Wardha, Washim,Yavatmal",2005,1,3,,,,125,14,2010685,,,1.505747627,,0.908345993,5.74E-05,3.000172126,18263.97663,
"Akola, Aurangabad, Beed, Hingoli, Jalna, Kolhapur, Nanded, Nashik, Parbhani, Palghar, Pune, Raigarh, Ratnagiri, Sangli, Sindhudurg, Thane, Dharashiv",2020,1,2,,,,125,14,2010685,,,1.505747627,,0.908345993,5.74E-05,2.00011475,18263.97663,
"Akola, Beed, Aurangabad, Akola, Beed, Buldhana, Gondia, Jalgaon, Jalna, Latur, Nanded, Dharashiv, Parbhani, Raigarh, Ratnagiri, Washim, Yavatmal",2021,1,1,,,,125,14,2010685,,,1.505747627,,0.908345993,5.74E-05,1.000057375,18263.97663,
