Districts,Year,Flood_Frequency,Mean_Duration,Human_fatality,Human_injured,Population,Corrected_Percent_Flooded_Area,Population_Exposure_Ratio,Flood_Risk_Index,Area_Exposure
East Godavari,2008.0,1,7.0,125.0,14.0,2010685.0,0.908345993,5.7375229500918e-05,7.000401626606507,18263.976629352048
Guntur,2008.0,1,7.0,125.0,14.0,2010685.0,0.908345993,5.7375229500918e-05,7.000401626606507,18263.976629352048
Hyderabad,2008.0,1,7.0,125.0,14.0,2010685.0,0.908345993,5.7375229500918e-05,7.000401626606507,18263.976629352048
Khammam,2008.0,1,7.0,125.0,14.0,2010685.0,0.908345993,5.7375229500918e-05,7.000401626606507,18263.976629352048
Krishna,2008.0,1,7.0,125.0,14.0,2010685.0,0.908345993,5.7375229500918e-05,7.000401626606507,18263.976629352048
Medak,2008.0,1,7.0,125.0,14.0,2010685.0,0.908345993,5.7375229500918e-05,7.000401626606507,18263.976629352048
Nalgonda,2008.0,1,7.0,125.0,14.0,2010685.0,0.908345993,5.7375229500918e-05,7.000401626606507,18263.976629352048
Agra,2018.0,1,1.0,125.0,14.0,2010685.0,0.908345993,5.7375229500918e-05,1.000057375229501,18263.976629352048
Ambedkar Nagar,2018.0,1,1.0,125.0,14.0,2010685.0,0.908345993,5.7375229500918e-05,1.000057375229501,18263.976629352048
Bahraich,2018.0,1,1.0,125.0,14.0,2010685.0,0.908345993,5.7375229500918e-05,1.000057375229501,18263.976629352048
Bara Banki,2018.0,1,1.0,125.0,14.0,2010685.0,0.908345993,5.7375229500918e-05,1.000057375229501,18263.976629352048
Kushinagar,2018.0,1,1.0,125.0,14.0,2010685.0,0.908345993,5.7375229500918e-05,1.000057375229501,18263.976629352048
Mathura,2018.0,1,1.0,125.0,14.0,2010685.0,0.908345993,5.7375229500918e-05,1.000057375229501,18263.976629352048
Rae Bareli,2018.0,1,1.0,125.0,14.0,2010685.0,0.908345993,5.7375229500918e-05,1.000057375229501,18263.976629352048
Sshrawasti,2018.0,1,1.0,125.0,14.0,2010685.0,0.908345993,5.7375229500918e-05,1.000057375229501,18263.976629352048
Sitapur,2018.0,1,1.0,125.0,14.0,2010685.0,0.908345993,5.7375229500918e-05,1.000057375229501,18263.976629352048
Firozabad,2018.0,1,1.0,125.0,14.0,2010685.0,0.908345993,5.7375229500918e-05,1.000057375229501,18263.976629352048
Hardoi,2018.0,1,1.0,125.0,14.0,2010685.0,0.908345993,5.7375229500918e-05,1.000057375229501,18263.976629352048
Kanpur Nagar Dehat,2018.0,1,1.0,125.0,14.0,2010685.0,0.908345993,5.7375229500918e-05,1.000057375229501,18263.976629352048
Mainpuri,2018.0,1,1.0,125.0,14.0,2010685.0,0.908345993,5.7375229500918e-05,1.000057375229501,18263.976629352048
Sultanpur,2018.0,1,1.0,125.0,14.0,2010685.0,0.908345993,5.7375229500918e-05,1.000057375229501,18263.976629352048
Agra,2010.0,1,1.0,125.0,14.0,2010685.0,0.908345993,5.7375229500918e-05,1.000057375229501,18263.976629352048
Kheri,2010.0,1,1.0,125.0,14.0,2010685.0,0.908345993,5.7375229500918e-05,1.000057375229501,18263.976629352048
Sitapur,2010.0,1,1.0,125.0,14.0,2010685.0,0.908345993,5.7375229500918e-05,1.000057375229501,18263.976629352048
Agra,1978.0,1,7.0,125.0,14.0,2010685.0,0.908345993,5.7375229500918e-05,7.000401626606507,18263.976629352048
Mathura,1978.0,1,7.0,125.0,14.0,2010685.0,0.908345993,5.7375229500918e-05,7.000401626606507,18263.976629352048
Varanasi,1978.0,1,7.0,125.0,14.0,2010685.0,0.908345993,5.7375229500918e-05,7.000401626606507,18263.976629352048
Prayagraj,1978.0,1,7.0,125.0,14.0,2010685.0,0.908345993,5.7375229500918e-05,7.000401626606507,18263.976629352048
Lucknow,1978.0,1,7.0,125.0,14.0,2010685.0,0.908345993,5.7375229500918e-05,7.000401626606507,18263.976629352048
Gwalior,1978.0,1,7.0,125.0,14.0,2010685.0,0.908345993,5.7375229500918e-05,7.000401626606507,18263.976629352048
Ballia,1978.0,1,7.0,125.0,14.0,2010685.0,0.908345993,5.7375229500918e-05,7.000401626606507,18263.976629352048
Etawah,1978.0,1,7.0,125.0,14.0,2010685.0,0.908345993,5.7375229500918e-05,7.000401626606507,18263.976629352048
Jalaun,1978.0,1,7.0,125.0,14.0,2010685.0,0.908345993,5.7375229500918e-05,7.000401626606507,18263.976629352048
Hamirpur,1978.0,1,7.0,125.0,14.0,2010685.0,0.908345993,5.7375229500918e-05,7.000401626606507,18263.976629352048
Banda,1978.0,1,7.0,125.0,14.0,2010685.0,0.908345993,5.7375229500918e-05,7.000401626606507,18263.976629352048
Agra,1985.0,1,21.0,125.0,14.0,2010685.0,0.908345993,5.7375229500918e-05,21.00120487981952,18263.976629352048
Prayagraj,1985.0,1,21.0,125.0,14.0,2010685.0,0.908345993,5.7375229500918e-05,21.00120487981952,18263.976629352048
Azamgarh,1985.0,1,21.0,125.0,14.0,2010685.0,0.908345993,5.7375229500918e-05,21.00120487981952,18263.976629352048
Bahraich,1985.0,1,21.0,125.0,14.0,2010685.0,0.908345993,5.7375229500918e-05,21.00120487981952,18263.976629352048
Ballia,1985.0,1,21.0,125.0,14.0,2010685.0,0.908345993,5.7375229500918e-05,21.00120487981952,18263.976629352048
Bara Banki,1985.0,1,21.0,125.0,14.0,2010685.0,0.908345993,5.7375229500918e-05,21.00120487981952,18263.976629352048
Bareilly,1985.0,1,21.0,125.0,14.0,2010685.0,0.908345993,5.7375229500918e-05,21.00120487981952,18263.976629352048
Basti,1985.0,1,21.0,125.0,14.0,2010685.0,0.908345993,5.7375229500918e-05,21.00120487981952,18263.976629352048
Budaun,1985.0,1,21.0,125.0,14.0,2010685.0,0.908345993,5.7375229500918e-05,21.00120487981952,18263.976629352048
Bulandshahr,1985.0,1,21.0,125.0,14.0,2010685.0,0.908345993,5.7375229500918e-05,21.00120487981952,18263.976629352048
Deoria,1985.0,1,21.0,125.0,14.0,2010685.0,0.908345993,5.7375229500918e-05,21.00120487981952,18263.976629352048
Etah,1985.0,1,21.0,125.0,14.0,2010685.0,0.908345993,5.7375229500918e-05,21.00120487981952,18263.976629352048
Etawah,1985.0,1,21.0,125.0,14.0,2010685.0,0.908345993,5.7375229500918e-05,21.00120487981952,18263.976629352048
Ayodhya,1985.0,1,21.0,125.0,14.0,2010685.0,0.908345993,5.7375229500918e-05,21.00120487981952,18263.976629352048
Farrukhabad,1985.0,1,21.0,125.0,14.0,2010685.0,0.908345993,5.7375229500918e-05,21.00120487981952,18263.976629352048
Fatehpur,1985.0,1,21.0,125.0,14.0,2010685.0,0.908345993,5.7375229500918e-05,21.00120487981952,18263.976629352048
Garhwal,1985.0,1,21.0,125.0,14.0,2010685.0,0.908345993,5.7375229500918e-05,21.00120487981952,18263.976629352048
Gonda,1985.0,1,21.0,125.0,14.0,2010685.0,0.908345993,5.7375229500918e-05,21.00120487981952,18263.976629352048
Gorakhpur,1985.0,1,21.0,125.0,14.0,2010685.0,0.908345993,5.7375229500918e-05,21.00120487981952,18263.976629352048
Hamirpur,1985.0,1,21.0,125.0,14.0,2010685.0,0.908345993,5.7375229500918e-05,21.00120487981952,18263.976629352048
Jaunpur,1985.0,1,21.0,125.0,14.0,2010685.0,0.908345993,5.7375229500918e-05,21.00120487981952,18263.976629352048
Kanpur Nagar Nagar,1985.0,1,21.0,125.0,14.0,2010685.0,0.908345993,5.7375229500918e-05,21.00120487981952,18263.976629352048
Kanpur Nagar Dehat,1985.0,1,21.0,125.0,14.0,2010685.0,0.908345993,5.7375229500918e-05,21.00120487981952,18263.976629352048
Kheri,1985.0,1,21.0,125.0,14.0,2010685.0,0.908345993,5.7375229500918e-05,21.00120487981952,18263.976629352048
Lucknow,1985.0,1,21.0,125.0,14.0,2010685.0,0.908345993,5.7375229500918e-05,21.00120487981952,18263.976629352048
Mainpuri,1985.0,1,21.0,125.0,14.0,2010685.0,0.908345993,5.7375229500918e-05,21.00120487981952,18263.976629352048
Mathura,1985.0,1,21.0,125.0,14.0,2010685.0,0.908345993,5.7375229500918e-05,21.00120487981952,18263.976629352048
Meerut,1985.0,1,21.0,125.0,14.0,2010685.0,0.908345993,5.7375229500918e-05,21.00120487981952,18263.976629352048
