Districts,Year,Flood_Frequency,Mean_Duration,Mean_Severity,AFSI,Dist_Name_x,Human_fatality,Human_injured,Population,Mean_Flood_Duration,Dist_Name_y,Percent_Flooded_Area,Parmanent_Water,Corrected_Percent_Flooded_Area,Population_Exposure_Ratio,Flood_Risk_Index,Area_Exposure,Severity_Score
Ahmedabad,2022,1,1,,,,125,14,2010685,,,1.505747627,,0.908345993,5.74E-05,1.000057375,18263.97663,
Ahmedabad,2017,1,122,,,,125,14,2010685,,,1.505747627,,0.908345993,5.74E-05,122.0069998,18263.97663,
Amreli,2017,1,122,,,,125,14,2010685,,,1.505747627,,0.908345993,5.74E-05,122.0069998,18263.97663,
Anand,2017,1,122,,,,125,14,2010685,,,1.505747627,,0.908345993,5.74E-05,122.0069998,18263.97663,
Arvalli,2017,1,122,,,,125,14,2010685,,,1.505747627,,0.908345993,5.74E-05,122.0069998,18263.97663,
Bharuch,2017,1,122,,,,125,14,2010685,,,1.505747627,,0.908345993,5.74E-05,122.0069998,18263.97663,
Banas Kantha,2017,1,122,,,,125,14,2010685,,,1.505747627,,0.908345993,5.74E-05,122.0069998,18263.97663,
Devbhumi Dwarka Dwarka,2017,1,122,,,,125,14,2010685,,,1.505747627,,0.908345993,5.74E-05,122.0069998,18263.97663,
Gandhinagar,2017,1,122,,,,125,14,2010685,,,1.505747627,,0.908345993,5.74E-05,122.0069998,18263.97663,
Gir Somnath,2017,1,122,,,,125,14,2010685,,,1.505747627,,0.908345993,5.74E-05,122.0069998,18263.97663,
Jamnagar,2017,1,122,,,,125,14,2010685,,,1.505747627,,0.908345993,5.74E-05,122.0069998,18263.97663,
Junagadh,2017,1,122,,,,125,14,2010685,,,1.505747627,,0.908345993,5.74E-05,122.0069998,18263.97663,
Kheda,2017,1,122,,,,125,14,2010685,,,1.505747627,,0.908345993,5.74E-05,122.0069998,18263.97663,
Kachchh,2017,1,122,,,,125,14,2010685,,,1.505747627,,0.908345993,5.74E-05,122.0069998,18263.97663,
Mahisagar,2017,1,122,,,,125,14,2010685,,,1.505747627,,0.908345993,5.74E-05,122.0069998,18263.97663,
Mahesana,2017,1,122,,,,125,14,2010685,,,1.505747627,,0.908345993,5.74E-05,122.0069998,18263.97663,
Morbi,2017,1,122,,,,125,14,2010685,,,1.505747627,,0.908345993,5.74E-05,122.0069998,18263.97663,
Navsari,2017,1,122,,,,125,14,2010685,,,1.505747627,,0.908345993,5.74E-05,122.0069998,18263.97663,
Panch Mahals,2017,1,122,,,,125,14,2010685,,,1.505747627,,0.908345993,5.74E-05,122.0069998,18263.97663,
Patan,2017,1,122,,,,125,14,2010685,,,1.505747627,,0.908345993,5.74E-05,122.0069998,18263.97663,
Rajkot,2017,1,122,,,,125,14,2010685,,,1.505747627,,0.908345993,5.74E-05,122.0069998,18263.97663,
Surat,2017,1,122,,,,125,14,2010685,,,1.505747627,,0.908345993,5.74E-05,122.0069998,18263.97663,
Surendranagar,2017,1,122,,,,125,14,2010685,,,1.505747627,,0.908345993,5.74E-05,122.0069998,18263.97663,
Dangs,2017,1,122,,,,125,14,2010685,,,1.505747627,,0.908345993,5.74E-05,122.0069998,18263.97663,
Valsad,2017,1,122,,,,125,14,2010685,,,1.505747627,,0.908345993,5.74E-05,122.0069998,18263.97663,
Ahmedabad,2016,1,120,,,,125,14,2010685,,,1.505747627,,0.908345993,5.74E-05,120.006885,18263.97663,
Amreli,2016,1,120,,,,125,14,2010685,,,1.505747627,,0.908345993,5.74E-05,120.006885,18263.97663,
Bharuch,2016,1,120,,,,125,14,2010685,,,1.505747627,,0.908345993,5.74E-05,120.006885,18263.97663,
Bhavnagar,2016,1,120,,,,125,14,2010685,,,1.505747627,,0.908345993,5.74E-05,120.006885,18263.97663,
Botad,2016,1,120,,,,125,14,2010685,,,1.505747627,,0.908345993,5.74E-05,120.006885,18263.97663,
Udaiur,2016,1,120,,,,125,14,2010685,,,1.505747627,,0.908345993,5.74E-05,120.006885,18263.97663,
Devbhumi Dwarka,2016,1,120,,,,125,14,2010685,,,1.505747627,,0.908345993,5.74E-05,120.006885,18263.97663,
Devbhumi Dwarka Dwarka,2016,1,120,,,,125,14,2010685,,,1.505747627,,0.908345993,5.74E-05,120.006885,18263.97663,
Dahod,2016,1,120,,,,125,14,2010685,,,1.505747627,,0.908345993,5.74E-05,120.006885,18263.97663,
Gandhinagar,2016,1,120,,,,125,14,2010685,,,1.505747627,,0.908345993,5.74E-05,120.006885,18263.97663,
Gir Somnath,2016,1,120,,,,125,14,2010685,,,1.505747627,,0.908345993,5.74E-05,120.006885,18263.97663,
Jamnagar,2016,1,120,,,,125,14,2010685,,,1.505747627,,0.908345993,5.74E-05,120.006885,18263.97663,
Junagadh,2016,1,120,,,,125,14,2010685,,,1.505747627,,0.908345993,5.74E-05,120.006885,18263.97663,
Kachchh,2016,1,120,,,,125,14,2010685,,,1.505747627,,0.908345993,5.74E-05,120.006885,18263.97663,
Mahesana,2016,1,120,,,,125,14,2010685,,,1.505747627,,0.908345993,5.74E-05,120.006885,18263.97663,
Morbi,2016,1,120,,,,125,14,2010685,,,1.505747627,,0.908345993,5.74E-05,120.006885,18263.97663,
Navsari,2016,1,120,,,,125,14,2010685,,,1.505747627,,0.908345993,5.74E-05,120.006885,18263.97663,
Panch Mahals,2016,1,120,,,,125,14,2010685,,,1.505747627,,0.908345993,5.74E-05,120.006885,18263.97663,
Patan,2016,1,120,,,,125,14,2010685,,,1.505747627,,0.908345993,5.74E-05,120.006885,18263.97663,
Rajkot,2016,1,120,,,,125,14,2010685,,,1.505747627,,0.908345993,5.74E-05,120.006885,18263.97663,
Sabar Kantha,2016,1,120,,,,125,14,2010685,,,1.505747627,,0.908345993,5.74E-05,120.006885,18263.97663,
Tapi,2016,1,120,,,,125,14,2010685,,,1.505747627,,0.908345993,5.74E-05,120.006885,18263.97663,
Dangs,2016,1,120,,,,125,14,2010685,,,1.505747627,,0.908345993,5.74E-05,120.006885,18263.97663,
Vadodara,2016,1,120,,,,125,14,2010685,,,1.505747627,,0.908345993,5.74E-05,120.006885,18263.97663,
Valsad,2016,1,120,,,,125,14,2010685,,,1.505747627,,0.908345993,5.74E-05,120.006885,18263.97663,
Ahmedabad,2007,1,1,,,,125,14,2010685,,,1.505747627,,0.908345993,5.74E-05,1.000057375,18263.97663,
Bharuch,2007,1,1,,,,125,14,2010685,,,1.505747627,,0.908345993,5.74E-05,1.000057375,18263.97663,
