Districts,Year,Flood_Frequency,Mean_Duration,Mean_Severity,AFSI,Dist_Name_x,Human_fatality,Human_injured,Population,Mean_Flood_Duration,Dist_Name_y,Percent_Flooded_Area,Parmanent_Water,Corrected_Percent_Flooded_Area,Population_Exposure_Ratio
Koraput,1983,1,3,,,Koraput,198,4,1573932,18,Koraput,1.383903026,1.198572767,0.185330259,0.0001258
Koraput,1984,1,2,,,Koraput,198,4,1573932,18,Koraput,1.383903026,1.198572767,0.185330259,0.0001258
Koraput,1986,1,7,,,Koraput,198,4,1573932,18,Koraput,1.383903026,1.198572767,0.185330259,0.0001258
Koraput,2013,1,1,,,Koraput,198,4,1573932,18,Koraput,1.383903026,1.198572767,0.185330259,0.0001258
"Koraput, Sambalpur",2016,1,6,,,,,,,,,,,,
"Korba,Raipur",2013,1,1,,,,,,,,,,,,
Kota,1992,1,1,,,Kota,206,266,2286428,12,Kota,2.883610805,0.503964127,2.379646678,9.01E-05
Kota,1995,1,1,,,Kota,206,266,2286428,12,Kota,2.883610805,0.503964127,2.379646678,9.01E-05
"Kota, Pali, Ganganagar, Churu",1975,1,7,,,,,,,,,,,,
"Kota, Tonk,Udaipur",2013,1,1,,,,,,,,,,,,
"Kota,Tonk",1993,1,31,,,,,,,,,,,,
Kottayam,1993,2,1,,,Kottayam,200,90,2015065,5,Kottayam,3.699266664,2.178531176,1.520735488,9.93E-05
Kottayam,1996,1,1,,,Kottayam,200,90,2015065,5,Kottayam,3.699266664,2.178531176,1.520735488,9.93E-05
Kottayam,1997,2,1,,,Kottayam,200,90,2015065,5,Kottayam,3.699266664,2.178531176,1.520735488,9.93E-05
Kottayam,2000,1,1,,,Kottayam,200,90,2015065,5,Kottayam,3.699266664,2.178531176,1.520735488,9.93E-05
Kottayam,2003,1,1,,,Kottayam,200,90,2015065,5,Kottayam,3.699266664,2.178531176,1.520735488,9.93E-05
Kottayam,2012,1,1,,,Kottayam,200,90,2015065,5,Kottayam,3.699266664,2.178531176,1.520735488,9.93E-05
Kottayam,2019,1,1,,,Kottayam,200,90,2015065,5,Kottayam,3.699266664,2.178531176,1.520735488,9.93E-05
Kottayam,2021,1,1,,,Kottayam,200,90,2015065,5,Kottayam,3.699266664,2.178531176,1.520735488,9.93E-05
Kottayam,2022,3,1,,,Kottayam,200,90,2015065,5,Kottayam,3.699266664,2.178531176,1.520735488,9.93E-05
Kottayam,2023,1,5,,,Kottayam,200,90,2015065,5,Kottayam,3.699266664,2.178531176,1.520735488,9.93E-05
"Kottayam, Palakkad, Thrissur",2015,1,3,,,,,,,,,,,,
"Kottayam,Kozhikode",2001,1,1,,,,,,,,,,,,
Kozhikode,1980,1,7,,,Kozhikode,181,45,3349063,5,Kozhikode,1.40055533,0.599372106,0.801183224,5.40E-05
Kozhikode,1982,1,3,,,Kozhikode,181,45,3349063,5,Kozhikode,1.40055533,0.599372106,0.801183224,5.40E-05
Kozhikode,1984,1,3,,,Kozhikode,181,45,3349063,5,Kozhikode,1.40055533,0.599372106,0.801183224,5.40E-05
Kozhikode,1987,1,1,,,Kozhikode,181,45,3349063,5,Kozhikode,1.40055533,0.599372106,0.801183224,5.40E-05
Kozhikode,2005,1,1,,,Kozhikode,181,45,3349063,5,Kozhikode,1.40055533,0.599372106,0.801183224,5.40E-05
Kozhikode,2020,2,1,,,Kozhikode,181,45,3349063,5,Kozhikode,1.40055533,0.599372106,0.801183224,5.40E-05
Kozhikode,2021,3,1,,,Kozhikode,181,45,3349063,5,Kozhikode,1.40055533,0.599372106,0.801183224,5.40E-05
Kozhikode,2023,1,5,,,Kozhikode,181,45,3349063,5,Kozhikode,1.40055533,0.599372106,0.801183224,5.40E-05
"Kozhikode,  Thiruvananthapuram",2017,1,2,,,,,,,,,,,,
"Kozhikode, Malappuram, Ernakulam, Thrissur, Kollam, Kottayam, Alappuzha,Kannur",1981,1,7,,,,,,,,,,,,
"Kozhikode, Malappuram,Wayanad",2005,1,1,,,,,,,,,,,,
"Kozhikode, Pathanamthitta",1995,1,5,,,,,,,,,,,,
"Kozhikode, Thrissur,Wayanad",2009,1,1,,,,,,,,,,,,
"Kozhikode,Thiruvananthapuram",1986,1,1,,,,,,,,,,,,
"Kozhikode,Thiruvananthapuram",1995,1,1,,,,,,,,,,,,
Kra Daadi,2022,4,3.75,,,Kra Daadi,7,2,93220,5,Kra Daadi,1.846265574,0.008415915,1.837849659,7.51E-05
Krishna,1978,1,21,,,Krishna,210,1,4751934,8,Krishna,4.604283716,3.894573341,0.709710375,4.42E-05
"Krishna, East Godavari, Jogulamba Gadwal, Kurnool, Visakhapatnam, Y.S.R., Prakasam,  Sri Potti Sriramulu Nellore",1975,1,14,,,,,,,,,,,,
"Krishna, Srikakulam,Hyderabad",1975,1,27,,,,,,,,,,,,
"Krishna,Nizamabad",2012,1,1,,,,,,,,,,,,
Krishnagiri,2017,1,2,,,Krishnagiri,35,4,2151735,6,Krishnagiri,1.019903242,0.155619892,0.86428335,1.63E-05
Krishnagiri,2021,1,16,,,Krishnagiri,35,4,2151735,6,Krishnagiri,1.019903242,0.155619892,0.86428335,1.63E-05
Kulgam,2022,1,1,,,Kulgam,49,7,578651,6,Kulgam,0.367091191,0.344100009,0.022991182,8.47E-05
"Kulgam, Shopian",2020,1,1,,,,,,,,,,,,
Kullu,1994,4,1,,,Kullu,371,205,460044,4,Kullu,0.26843604,0.052025107,0.216410933,0.000806445
Kullu,2001,1,1,,,Kullu,371,205,460044,4,Kullu,0.26843604,0.052025107,0.216410933,0.000806445
Kullu,2004,1,2,,,Kullu,371,205,460044,4,Kullu,0.26843604,0.052025107,0.216410933,0.000806445
Kullu,2007,1,1,,,Kullu,371,205,460044,4,Kullu,0.26843604,0.052025107,0.216410933,0.000806445
